b3f72aecdf6241e5816bb2ea4a1e7769	09/06/2024	5	Dev omgeving ingesteld, django django en react runnen.
b3f72aecdf6241e5816bb2ea4a1e7769	12/06/2024	3	Added chatGPT4o_api in the syntethic app. It contains one simple example api request to chatgtp4o with the first bullish headline prompt of the headlines class.
b3f72aecdf6241e5816bb2ea4a1e7769	14/06/2024	2	I Altered main.py to generate text with gpt instead of mistral. I also altered the template prompt to get cleaner generated text. Furthermore I improved the gpt_api.py file, now it can be imported within any other python file and be used the generate text with it.- What is left is just to generate the articles. When this is done I will update the google drive data.
b3f72aecdf6241e5816bb2ea4a1e7769	15/06/2024	0,5	Finished generating the synthetic articles and added these to the Google drive.
b3f72aecdf6241e5816bb2ea4a1e7769	17/06/2024	3	Currently generating new articles based on the “article_formats“. This picture is an example of the similarity between an article without an specificly asked format and the reuters format. I also build in a check such that only new articles are generated when the prompt combined with a article Format does not yet exist.
b3f72aecdf6241e5816bb2ea4a1e7769	18/06/2024	4,5	I created 16 “formats“ to generate different articles on the pre-defined headlines. 13 of them have been generated, around 3300 articles now. I also created a similarity check based on tfidf and cosine similarity. I will finish generating tomorrow, and will create a similarity matrix comparing all the different formats to eachother, to in the end filter bad articles.
b3f72aecdf6241e5816bb2ea4a1e7769	19/06/2024	2	Bugs uit de similarity check en de headlines functie, sommige headlines kwamen twee keer voor of er was een komma vergeten.
b3f72aecdf6241e5816bb2ea4a1e7769	20/06/2024	1	Verdere data cleaning can de tsv en similarity check uitgevoerd.
b3f72aecdf6241e5816bb2ea4a1e7769	25/06/2024	1,5	Last bit of cleaning, dataset is now Complete.
b3f72aecdf6241e5816bb2ea4a1e7769	26/06/2024	3	Getting a understanding of react And django, importing data into Mysql.
b3f72aecdf6241e5816bb2ea4a1e7769	30/06/2024	3	Verder debuggen met het vullen van de news table.
b3f72aecdf6241e5816bb2ea4a1e7769	01/07/2024	2	News table migration finished, Django + react fully working, Merged rutgersbranch to main.Researched faang press releases.
b3f72aecdf6241e5816bb2ea4a1e7769	02/07/2024	2,5	Fixed the script to import the fed Articles into the existing news tableAtleast it is now compatible with linux. Filtered according to the fixed low volatile script.
b3f72aecdf6241e5816bb2ea4a1e7769	03/07/2024	5,5	Added fed articles to news table, Started learning how to change the react front app to accept the low density of the fed articles. also had team meeting.
b3f72aecdf6241e5816bb2ea4a1e7769	04/07/2024	4	Added fed app to django to handle Fed tsv import and table migration to news. Scripts to import tsv and move fed articles from fed table to news table have been made.
b3f72aecdf6241e5816bb2ea4a1e7769	05/07/2024	3	Added all new scraped topics as apps in django including import and migrate scripts. Also altered front end to show articles based on date instead of just db order.
b3f72aecdf6241e5816bb2ea4a1e7769	13/08/2024	5	Nieuwe dataset gedownload en geimport, bug geprobeerd te reproducen. Search balk toegevoegd.
b3f72aecdf6241e5816bb2ea4a1e7769	14/08/2024	2	Debugged the searchbar. Started making the app.tsx more readabe. started of with creating hooks for different components.
b3f72aecdf6241e5816bb2ea4a1e7769	15/08/2024	1,5	Continued cleaning up the reactapp newlist is now seperated into two components and a hook. Now the sentiment is handled completely seperate from everything. app.tsx reduced from 370 lines to 295.
b3f72aecdf6241e5816bb2ea4a1e7769	22/08/2024	0,5	Fixed bug where fed articles would not fetch after switching from daily move.
b3f72aecdf6241e5816bb2ea4a1e7769	04/09/2024	1,5	Meeting with Robert and Koen.
b3f72aecdf6241e5816bb2ea4a1e7769	06/09/2024	2,5	I fixed this item. I added a new condition in fetchNewsAll that includes the text filter. This way all GUI features act as one big AND condition. 1 small problem, the current code on this functionality can be simplified due to duplicate features existing in both app.tsx and useSearchBar.tsx. For now the filter works, we can Refactor the code later on if needed.
b3f72aecdf6241e5816bb2ea4a1e7769	07/09/2024	0,5	Fixing merge conflicts on the searchbar
b3f72aecdf6241e5816bb2ea4a1e7769	10/09/2024	2	Budgetting for llm ticket, fixed the apex chart is not displaying datetime in EST (New York) bug.
